county,fips,value_dollars,rank_us,county
Lake County,47095,39522,3127,Lake County
Hancock County,47067,48165,3092,Hancock County
Grundy County,47061,52772,3029,Grundy County
Scott County,47151,53423,3022,Scott County
Cocke County,47029,54527,3001,Cocke County
Hardin County,47071,56576,2963,Hardin County
Fentress County,47049,57083,2947,Fentress County
Jackson County,47087,59234,2887,Jackson County
Lauderdale County,47097,59853,2867,Lauderdale County
Bledsoe County,47007,59891,2866,Bledsoe County
Haywood County,47075,60900,2826,Haywood County
Perry County,47135,61712,2783,Perry County
Clay County,47027,61757,2778,Clay County
Sequatchie County,47153,62179,2754,Sequatchie County
Decatur County,47039,62181,2753,Decatur County
Pickett County,47137,62788,2731,Pickett County
Unicoi County,47171,63258,2707,Unicoi County
Claiborne County,47025,63456,2697,Claiborne County
Carter County,47019,63514,2691,Carter County
Rhea County,47143,63537,2690,Rhea County
DeKalb County,47041,63622,2687,DeKalb County
McNairy County,47109,63921,2670,McNairy County
Warren County,47177,64962,2620,Warren County
Henry County,47079,65316,2604,Henry County
Weakley County,47183,66024,2572,Weakley County
Grainger County,47057,66264,2565,Grainger County
Hawkins County,47073,66632,2549,Hawkins County
Johnson County,47091,66747,2544,Johnson County
Hickman County,47081,67158,2514,Hickman County
Campbell County,47013,67252,2506,Campbell County
Dyer County,47045,67403,2497,Dyer County
Marion County,47115,67433,2496,Marion County
Obion County,47131,67717,2480,Obion County
Lawrence County,47099,67842,2476,Lawrence County
Hardeman County,47069,67892,2475,Hardeman County
White County,47185,68157,2455,White County
Benton County,47005,68196,2451,Benton County
Overton County,47133,68565,2432,Overton County
Chester County,47023,68614,2426,Chester County
Wayne County,47181,68812,2418,Wayne County
Van Buren County,47175,69262,2399,Van Buren County
Cumberland County,47035,69744,2375,Cumberland County
Hamblen County,47063,70052,2354,Hamblen County
Lewis County,47101,70610,2326,Lewis County
Coffee County,47031,70731,2314,Coffee County
Union County,47173,71211,2272,Union County
Gibson County,47053,71228,2270,Gibson County
Greene County,47059,71662,2233,Greene County
Houston County,47083,71667,2232,Houston County
Henderson County,47077,71775,2223,Henderson County
Macon County,47111,71834,2218,Macon County
McMinn County,47107,71974,2208,McMinn County
Meigs County,47121,72191,2197,Meigs County
Bedford County,47003,72660,2158,Bedford County
Carroll County,47017,73122,2128,Carroll County
Cannon County,47015,73441,2107,Cannon County
Monroe County,47123,73828,2072,Monroe County
Crockett County,47033,73958,2057,Crockett County
Morgan County,47129,73988,2056,Morgan County
Putnam County,47141,74175,2040,Putnam County
Sullivan County,47163,74563,2020,Sullivan County
Humphreys County,47085,75629,1944,Humphreys County
Madison County,47113,75841,1928,Madison County
Franklin County,47051,76785,1852,Franklin County
Polk County,47139,77435,1791,Polk County
Jefferson County,47089,77799,1765,Jefferson County
Sevier County,47155,77896,1754,Sevier County
Lincoln County,47103,78186,1730,Lincoln County
Smith County,47159,78868,1676,Smith County
Bradley County,47011,79394,1633,Bradley County
Shelby County,47157,80849,1538,Shelby County
Washington County,47179,82020,1448,Washington County
Stewart County,47161,82226,1432,Stewart County
Giles County,47055,82604,1400,Giles County
Trousdale County,47169,82866,1379,Trousdale County
Anderson County,47001,83282,1342,Anderson County
Moore County,47127,83590,1324,Moore County
Roane County,47145,84015,1289,Roane County
Dickson County,47043,84186,1279,Dickson County
Tipton County,47167,84489,1256,Tipton County
Montgomery County,47125,86662,1093,Montgomery County
Marshall County,47117,88053,1025,Marshall County
Maury County,47119,88563,986,Maury County
Blount County,47009,90224,894,Blount County
Robertson County,47147,90630,872,Robertson County
Loudon County,47105,93337,745,Loudon County
Knox County,47093,94921,671,Knox County
Cheatham County,47021,95330,651,Cheatham County
Hamilton County,47065,95586,634,Hamilton County
Davidson County,47037,96175,610,Davidson County
Rutherford County,47149,96860,578,Rutherford County
Fayette County,47047,101049,444,Fayette County
Sumner County,47165,103326,374,Sumner County
Wilson County,47189,109979,260,Wilson County
Williamson County,47187,153397,28,Williamson County
