county,fips,value_dollars,rank_us,county.1,hospital_count,income_group
Lake,47095,39522,3127,Lake County,0.0,low
Hancock,47067,48165,3092,Hancock County,1.0,low
Grundy,47061,52772,3029,Grundy County,0.0,low
Scott,47151,53423,3022,Scott County,1.0,low
Cocke,47029,54527,3001,Cocke County,1.0,low
Hardin,47071,56576,2963,Hardin County,1.0,low
Fentress,47049,57083,2947,Fentress County,0.0,low
Jackson,47087,59234,2887,Jackson County,0.0,low
Lauderdale,47097,59853,2867,Lauderdale County,1.0,low
Bledsoe,47007,59891,2866,Bledsoe County,1.0,low
Haywood,47075,60900,2826,Haywood County,1.0,low
Perry,47135,61712,2783,Perry County,0.0,low
Clay,47027,61757,2778,Clay County,0.0,low
Sequatchie,47153,62179,2754,Sequatchie County,0.0,low
Decatur,47039,62181,2753,Decatur County,0.0,low
Pickett,47137,62788,2731,Pickett County,0.0,low
Unicoi,47171,63258,2707,Unicoi County,0.0,low
Claiborne,47025,63456,2697,Claiborne County,1.0,low
Carter,47019,63514,2691,Carter County,1.0,low
Rhea,47143,63537,2690,Rhea County,1.0,low
DeKalb,47041,63622,2687,DeKalb County,0.0,low
McNairy,47109,63921,2670,McNairy County,0.0,low
Warren,47177,64962,2620,Warren County,1.0,low
Henry,47079,65316,2604,Henry County,1.0,low
Weakley,47183,66024,2572,Weakley County,2.0,Lower-Mid
Grainger,47057,66264,2565,Grainger County,0.0,Lower-Mid
Hawkins,47073,66632,2549,Hawkins County,1.0,Lower-Mid
Johnson,47091,66747,2544,Johnson County,1.0,Lower-Mid
Hickman,47081,67158,2514,Hickman County,1.0,Lower-Mid
Campbell,47013,67252,2506,Campbell County,1.0,Lower-Mid
Dyer,47045,67403,2497,Dyer County,1.0,Lower-Mid
Marion,47115,67433,2496,Marion County,0.0,Lower-Mid
Obion,47131,67717,2480,Obion County,1.0,Lower-Mid
Lawrence,47099,67842,2476,Lawrence County,1.0,Lower-Mid
Hardeman,47069,67892,2475,Hardeman County,2.0,Lower-Mid
White,47185,68157,2455,White County,1.0,Lower-Mid
Benton,47005,68196,2451,Benton County,1.0,Lower-Mid
Overton,47133,68565,2432,Overton County,1.0,Lower-Mid
Chester,47023,68614,2426,Chester County,0.0,Lower-Mid
Wayne,47181,68812,2418,Wayne County,1.0,Lower-Mid
Van Buren,47175,69262,2399,Van Buren County,0.0,Lower-Mid
Cumberland,47035,69744,2375,Cumberland County,1.0,Lower-Mid
Hamblen,47063,70052,2354,Hamblen County,1.0,Lower-Mid
Lewis,47101,70610,2326,Lewis County,0.0,Lower-Mid
Coffee,47031,70731,2314,Coffee County,2.0,Lower-Mid
Union,47173,71211,2272,Union County,0.0,Lower-Mid
Gibson,47053,71228,2270,Gibson County,1.0,Lower-Mid
Greene,47059,71662,2233,Greene County,1.0,Lower-Mid
Houston,47083,71667,2232,Houston County,1.0,Upper-Mid
Henderson,47077,71775,2223,Henderson County,1.0,Upper-Mid
Macon,47111,71834,2218,Macon County,1.0,Upper-Mid
McMinn,47107,71974,2208,McMinn County,0.0,Upper-Mid
Meigs,47121,72191,2197,Meigs County,0.0,Upper-Mid
Bedford,47003,72660,2158,Bedford County,1.0,Upper-Mid
Carroll,47017,73122,2128,Carroll County,1.0,Upper-Mid
Cannon,47015,73441,2107,Cannon County,1.0,Upper-Mid
Monroe,47123,73828,2072,Monroe County,1.0,Upper-Mid
Crockett,47033,73958,2057,Crockett County,0.0,Upper-Mid
Morgan,47129,73988,2056,Morgan County,0.0,Upper-Mid
Putnam,47141,74175,2040,Putnam County,1.0,Upper-Mid
Sullivan,47163,74563,2020,Sullivan County,4.0,Upper-Mid
Humphreys,47085,75629,1944,Humphreys County,1.0,Upper-Mid
Madison,47113,75841,1928,Madison County,3.0,Upper-Mid
Franklin,47051,76785,1852,Franklin County,1.0,Upper-Mid
Polk,47139,77435,1791,Polk County,0.0,Upper-Mid
Jefferson,47089,77799,1765,Jefferson County,1.0,Upper-Mid
Sevier,47155,77896,1754,Sevier County,1.0,Upper-Mid
Lincoln,47103,78186,1730,Lincoln County,1.0,Upper-Mid
Smith,47159,78868,1676,Smith County,1.0,Upper-Mid
Bradley,47011,79394,1633,Bradley County,1.0,Upper-Mid
Shelby,47157,80849,1538,Shelby County,14.0,Upper-Mid
Washington,47179,82020,1448,Washington County,3.0,High
Stewart,47161,82226,1432,Stewart County,0.0,High
Giles,47055,82604,1400,Giles County,1.0,High
Trousdale,47169,82866,1379,Trousdale County,1.0,High
Anderson,47001,83282,1342,Anderson County,2.0,High
Moore,47127,83590,1324,Moore County,0.0,High
Roane,47145,84015,1289,Roane County,1.0,High
Dickson,47043,84186,1279,Dickson County,1.0,High
Tipton,47167,84489,1256,Tipton County,1.0,High
Montgomery,47125,86662,1093,Montgomery County,2.0,High
Marshall,47117,88053,1025,Marshall County,1.0,High
Maury,47119,88563,986,Maury County,3.0,High
Blount,47009,90224,894,Blount County,1.0,High
Robertson,47147,90630,872,Robertson County,1.0,High
Loudon,47105,93337,745,Loudon County,1.0,High
Knox,47093,94921,671,Knox County,7.0,High
Cheatham,47021,95330,651,Cheatham County,1.0,High
Hamilton,47065,95586,634,Hamilton County,5.0,High
Davidson,47037,96175,610,Davidson County,11.0,High
Rutherford,47149,96860,578,Rutherford County,4.0,High
Fayette,47047,101049,444,Fayette County,0.0,High
Sumner,47165,103326,374,Sumner County,2.0,High
Wilson,47189,109979,260,Wilson County,1.0,High
Williamson,47187,153397,28,Williamson County,2.0,High
